Postcode,School count,Education sector,School number,Name,Town/city,Longitude,Latitude,medianSoldPrice,numberSold
3192,6,Government,7720.0,Cheltenham Secondary College,Cheltenham,145.068676,-37.953762,1050000.0,268.0
3192,6,Catholic,1505.0,Our Lady of the Assumption School,CHELTENHAM,145.059713,-37.965505,1050000.0,268.0
3193,5,Government,3631.0,Black Rock Primary School,Black Rock,145.021651,-37.969869,1945000.0,63.0
3193,5,Government,3899.0,Beaumaris Primary School,Beaumaris,145.037586,-37.985271999999995,1945000.0,63.0
3193,5,Government,4803.0,Beaumaris North Primary School,Beaumaris,145.036614,-37.974239000000004,1945000.0,63.0
3193,5,Government,7566.0,Beaumaris Secondary College,Beaumaris,145.034078,-37.978396000000004,1945000.0,63.0
3193,5,Catholic,1554.0,Stella Maris School,BEAUMARIS,145.041044,-37.981986,1945000.0,63.0
3195,11,Government,846.0,Mordialloc Beach Primary School,Mordialloc,145.088809,-38.005582000000004,1530000.0,23.0
3195,11,Government,4171.0,Parkdale Primary School,Parkdale,145.083098,-37.992792,1530000.0,23.0
3195,11,Government,4193.0,Aspendale Primary School,Aspendale,145.099756,-38.020272999999996,1530000.0,23.0
3195,11,Government,4843.0,Parktone Primary School,Parkdale,145.08823999999998,-37.987109000000004,1530000.0,23.0
3195,11,Government,5142.0,Yarrabah School,Aspendale,145.096687,-38.013994,1530000.0,23.0
3195,11,Government,5301.0,Aspendale Gardens Primary School,Aspendale Gardens,145.116796,-38.022512,1530000.0,23.0
3195,11,Government,8075.0,Mordialloc College,Mordialloc,145.092675,-38.012243,1530000.0,23.0
3195,11,Government,8225.0,Parkdale Secondary College,Mordialloc,145.093501,-37.990301,1530000.0,23.0
3195,11,Catholic,923.0,St Brigid's School,MORDIALLOC,145.091778,-38.00804,1530000.0,23.0
3195,11,Catholic,1602.0,St John Vianney's School,PARKDALE EAST,145.09249,-37.99047,1530000.0,23.0
3195,11,Catholic,1649.0,St Louis de Montfort's School,ASPENDALE,145.102261,-38.018128000000004,1530000.0,23.0
3196,4,Government,3341.0,Chelsea Heights Primary School,Chelsea Heights,145.138057,-38.045019,972000.0,106.0
3196,4,Government,3729.0,Chelsea Primary School,Chelsea,145.12231,-38.054889,972000.0,106.0
3196,4,Government,3790.0,Edithvale Primary School,Edithvale,145.11297,-38.037494,972000.0,106.0
3196,4,Government,4798.0,Bonbeach Primary School,Bonbeach,145.125645,-38.066493,972000.0,106.0
3197,2,Government,3385.0,Carrum Primary School,Carrum,145.12670500000002,-38.07812,1022000.0,106.0
3197,2,Government,5190.0,Patterson Lakes Primary School,Patterson Lakes,145.144792,-38.069838,1022000.0,106.0
3198,7,Government,3835.0,Seaford Primary School,Seaford,145.130496,-38.104436,730000.0,281.0
3198,7,Government,4290.0,Nepean Special School,Seaford,145.14233000000002,-38.119433,730000.0,281.0
3198,7,Government,4902.0,Belvedere Park Primary School,Seaford,145.146925,-38.109838,730000.0,281.0
3198,7,Government,4974.0,Seaford North Primary School,Seaford,145.133607,-38.09016,730000.0,281.0
3198,7,Government,5191.0,Seaford Park Primary School,Seaford,145.15444,-38.105038,730000.0,281.0
3198,7,Government,5418.0,Kananook Primary School,Seaford,145.13173799999998,-38.125159000000004,730000.0,281.0
3198,7,Government,8725.0,Patterson River Secondary College,Seaford,145.134741,-38.083504,730000.0,281.0
